Event&Year|Track|Car|Parameter|Event|Scored Time in s|Scored EnergyConsumption in kWh|Scores|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10000|Endurance|25.064795|-|213|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10000|AutoX|1.006118|-|66|
FSA 2015|Skidpad|FSG15e2D|10000|Skidpad|5.366906|-|43|
FSA 2015|Acceleration|FSG15e2D|10000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10000|Efficiency|25.064795|7.396247|88|
Overall Points|-|-|10000|-|-|-|466|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10250|Endurance|24.974458|-|216|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10250|AutoX|1.002192|-|67|
FSA 2015|Skidpad|FSG15e2D|10250|Skidpad|5.341288|-|44|
FSA 2015|Acceleration|FSG15e2D|10250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10250|Efficiency|24.974458|7.449822|88|
Overall Points|-|-|10250|-|-|-|473|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10250|Endurance|24.974458|-|216|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10250|AutoX|1.002192|-|67|
FSA 2015|Skidpad|FSG15e2D|10250|Skidpad|5.341288|-|44|
FSA 2015|Acceleration|FSG15e2D|10250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10250|Efficiency|24.974458|7.449822|88|
Overall Points|-|-|10250|-|-|-|473|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10250|Endurance|24.974458|-|216|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10250|AutoX|1.002192|-|67|
FSA 2015|Skidpad|FSG15e2D|10250|Skidpad|5.341288|-|44|
FSA 2015|Acceleration|FSG15e2D|10250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10250|Efficiency|24.974458|7.449822|88|
Overall Points|-|-|10250|-|-|-|473|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10500|Endurance|24.885506|-|220|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10500|AutoX|0.998323|-|69|
FSA 2015|Skidpad|FSG15e2D|10500|Skidpad|5.316034|-|46|
FSA 2015|Acceleration|FSG15e2D|10500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10500|Efficiency|24.885506|6.709766|93|
Overall Points|-|-|10500|-|-|-|485|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10500|Endurance|24.885506|-|220|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10500|AutoX|0.998323|-|69|
FSA 2015|Skidpad|FSG15e2D|10500|Skidpad|5.316034|-|46|
FSA 2015|Acceleration|FSG15e2D|10500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10500|Efficiency|24.885506|6.709766|93|
Overall Points|-|-|10500|-|-|-|485|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10500|Endurance|24.885506|-|220|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10500|AutoX|0.998323|-|69|
FSA 2015|Skidpad|FSG15e2D|10500|Skidpad|5.316034|-|46|
FSA 2015|Acceleration|FSG15e2D|10500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|10500|Efficiency|24.885506|6.709766|93|
Overall Points|-|-|10500|-|-|-|485|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|10750|Endurance|24.797929|-|224|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|10750|AutoX|0.994510|-|71|
FSA 2015|Skidpad|FSG15e2D|10750|Skidpad|5.291134|-|48|
